Cliente_ID,Ano_Mes,Gasto_Mensal,Qtd_Transacoes,Ticket_Medio,Limite_Total,Limite_Maximo,Qtd_Cartoes_Credito,Renda_Anual,Utilizacao_Limite,Renda_Mensal,Situacao
1003,2023-01,1205.26,3,401.75,29000.0,29000.0,1,27000.0,4.156068965517242,2250.0,Limite inadequado: Muito alto
1003,2023-02,4935.4,8,616.93,29000.0,29000.0,1,27000.0,17.01862068965517,2250.0,Limite inadequado: Muito alto
1003,2023-03,2043.46,4,510.86,29000.0,29000.0,1,27000.0,7.046413793103448,2250.0,Limite inadequado: Muito alto
1003,2023-04,4177.07,7,596.72,29000.0,29000.0,1,27000.0,14.403689655172414,2250.0,Limite inadequado: Muito alto
1003,2023-05,2968.64,5,593.73,29000.0,29000.0,1,27000.0,10.236689655172414,2250.0,Limite inadequado: Muito alto
1003,2023-06,3086.94,5,617.39,29000.0,29000.0,1,27000.0,10.644620689655172,2250.0,Limite inadequado: Muito alto
1003,2023-07,2184.63,4,546.16,29000.0,29000.0,1,27000.0,7.533206896551725,2250.0,Limite inadequado: Muito alto
1003,2023-08,1228.5,3,409.5,29000.0,29000.0,1,27000.0,4.236206896551724,2250.0,Limite inadequado: Muito alto
1003,2023-09,2306.35,2,1153.18,29000.0,29000.0,1,27000.0,7.952931034482759,2250.0,Limite inadequado: Muito alto
1003,2023-10,2353.46,3,784.49,29000.0,29000.0,1,27000.0,8.115379310344828,2250.0,Limite inadequado: Muito alto
1003,2023-11,933.15,2,466.58,29000.0,29000.0,1,27000.0,3.217758620689655,2250.0,Limite inadequado: Muito alto
1003,2023-12,5849.15,8,731.14,29000.0,29000.0,1,27000.0,20.16948275862069,2250.0,Limite inadequado: Muito alto
1003,2024-01,3090.32,5,618.06,29000.0,29000.0,1,27000.0,10.656275862068966,2250.0,Limite inadequado: Muito alto
1003,2024-02,2759.43,4,689.86,29000.0,29000.0,1,27000.0,9.515275862068966,2250.0,Limite inadequado: Muito alto
1003,2024-03,2150.13,5,430.03,29000.0,29000.0,1,27000.0,7.4142413793103445,2250.0,Limite inadequado: Muito alto
1003,2024-04,2580.35,5,516.07,29000.0,29000.0,1,27000.0,8.897758620689656,2250.0,Limite inadequado: Muito alto
1003,2024-05,5579.8,10,557.98,29000.0,29000.0,1,27000.0,19.240689655172414,2250.0,Limite inadequado: Muito alto
1003,2024-06,2631.1,4,657.78,29000.0,29000.0,1,27000.0,9.072758620689655,2250.0,Limite inadequado: Muito alto
1003,2024-07,4351.97,10,435.2,29000.0,29000.0,1,27000.0,15.006793103448276,2250.0,Limite inadequado: Muito alto
1003,2024-08,2242.91,3,747.64,29000.0,29000.0,1,27000.0,7.734172413793103,2250.0,Limite inadequado: Muito alto
1003,2024-09,2774.98,4,693.74,29000.0,29000.0,1,27000.0,9.568896551724137,2250.0,Limite inadequado: Muito alto
1003,2024-10,3216.68,4,804.17,29000.0,29000.0,1,27000.0,11.091999999999999,2250.0,Limite inadequado: Muito alto
1003,2024-11,1737.33,2,868.66,29000.0,29000.0,1,27000.0,5.990793103448276,2250.0,Limite inadequado: Muito alto
1003,2024-12,360.68,1,360.68,29000.0,29000.0,1,27000.0,1.2437241379310344,2250.0,Limite inadequado: Muito alto
1011,2023-01,2548.9,4,637.22,25000.0,13000.0,2,111300.0,10.1956,9275.0,Limite inadequado: Muito alto
1011,2023-02,4263.35,8,532.92,25000.0,13000.0,2,111300.0,17.053400000000003,9275.0,Limite inadequado: Muito alto
1011,2023-03,2791.56,4,697.89,25000.0,13000.0,2,111300.0,11.16624,9275.0,Limite inadequado: Muito alto
1011,2023-04,3289.02,10,328.9,25000.0,13000.0,2,111300.0,13.156080000000001,9275.0,Limite inadequado: Muito alto
1011,2023-05,783.22,2,391.61,25000.0,13000.0,2,111300.0,3.1328800000000006,9275.0,Limite inadequado: Muito alto
1011,2023-06,3829.34,5,765.87,25000.0,13000.0,2,111300.0,15.317359999999999,9275.0,Limite inadequado: Muito alto
1011,2023-07,2414.56,6,402.43,25000.0,13000.0,2,111300.0,9.65824,9275.0,Limite inadequado: Muito alto
